Report ID,Report Name,spUpdate Name,spGet Summary,spGet Detail,API Route
1,Actual Rate Greater Than Target Rate,spUpdate_iODS_ActualRateGreaterThanTargetRate,spGet_iODS_ActualRateGreaterThanTargetRate_Summary,spGet_iODS_ActualRateGreaterThanTargetRate_Detail,/api/v1/report/actual-rate-greater-than-target-rate
2,Calc Speed Diff from Actual Rate,spUpdate_iODS_CalcSpeedDifffromActualRate,spGet_iODS_CalcSpeedDifffromActualRate_Summary,spGet_iODS_CalcSpeedDifffromActualRate_Detail,/api/v1/report/calc-speed-diff-from-actual-rate
3,Downtime Category IN Line Status OUT,spUpdate_iODS_DowntimeCategoryINLineStatusOUT,spGet_iODS_DowntimeCategoryINLineStatusOUT_Summary,spGet_iODS_DowntimeCategoryINLineStatusOUT_Detail,/api/v1/report/downtime-category-in-line-status-out
4,Downtime Category OUT Line Status IN,spUpdate_iODS_DowntimeCategoryOUTLineStatusIN,spGet_iODS_DowntimeCategoryOUTLineStatusIN_Summary,spGet_iODS_DowntimeCategoryOUTLineStatusIN_Detail,/api/v1/report/downtime-category-out-line-status-in
5,Good Product During PR OUT,spUpdate_iODS_GoodProductDuringPROUT,spGet_iODS_GoodProductDuringPROUT_Summary,spGet_iODS_GoodProductDuringPROUT_Detail,/api/v1/report/good-product-during-pr-out
6,Good Product Without PO,spUpdate_iODS_GoodProductWithoutPO,spGet_iODS_GoodProductWithoutPO_Summary,spGet_iODS_GoodProductWithoutPO_Detail,/api/v1/report/good-product-without-po
7,Missing Target Rate,spUpdate_iODS_MissingTargetRate,spGet_iODS_MissingTargetRate_Summary,spGet_iODS_MissingTargetRate_Detail,/api/v1/report/missing-target-rate
8,Negative Good Product,spUpdate_iODS_NegativeGoodProduct,spGet_iODS_NegativeGoodProduct_Summary,spGet_iODS_NegativeGoodProduct_Detail,/api/v1/report/negative-good-product
9,Planned Downtime Without Planned Category,spUpdate_iODS_PlannedDowntimeWithoutPlannedCategory,spGet_iODS_PlannedDowntimeWithoutPlannedCategory_Summary,spGet_iODS_PlannedDowntimeWithoutPlannedCategory_Detail,/api/v1/report/planned-downtime-without-planned-category
10,PR Greater Than Availability,spUpdate_iODS_PRGreaterThanAvailability,spGet_iODS_PRGreaterThanAvailability_Summary,spGet_iODS_PRGreaterThanAvailability_Detail,/api/v1/report/pr-greater-than-availability
11,PR Over 100 Percent,spUpdate_iODS_PROver100Percent,spGet_iODS_PROver100Percent_Summary,spGet_iODS_PROver100Percent_Detail,/api/v1/report/pr-over-100-percent
12,Production Record Ends Before It Starts,spUpdate_iODS_ProductionRecordEndsBeforeItStarts,spGet_iODS_ProductionRecordEndsBeforeItStarts_Summary,spGet_iODS_ProductionRecordEndsBeforeItStarts_Detail,/api/v1/report/production-record-ends-before-it-starts
13,Rate Loss Over Threshold,spUpdate_iODS_RateLossOverThreshold,spGet_iODS_RateLossOverThreshold_Summary,spGet_iODS_RateLossOverThreshold_Detail,/api/v1/report/rate-loss-over-threshold
14,Rate Utilization Over 100 Percent,spUpdate_iODS_RateUtilizationOver100Percent,spGet_iODS_RateUtilizationOver100Percent_Summary,spGet_iODS_RateUtilizationOver100Percent_Detail,/api/v1/report/rate-utilization-over-100-percent
15,SAP Production Difference,spUpdate_iODS_SAPProductionDifference,spGet_iODS_SAPProductionDifference_Summary,spGet_iODS_SAPProductionDifference_Detail,/api/v1/report/sap-production-difference
16,SAP Started Late,spUpdate_iODS_SAPStartedLate,spGet_iODS_SAPStartedLate_Summary,spGet_iODS_SAPStartedLate_Detail,/api/v1/report/sap-started-late
17,Schedule Variation Without Comment,spUpdate_iODS_ScheduleVariationWithoutComment,spGet_iODS_ScheduleVariationWithoutComment_Summary,spGet_iODS_ScheduleVariationWithoutComment_Detail,/api/v1/report/schedule-variation-without-comment
18,Scheduled Time Over 1440 Minutes,spUpdate_iODS_ScheduledTimeOver1440Minutes,spGet_iODS_ScheduledTimeOver1440Minutes_Summary,spGet_iODS_ScheduledTimeOver1440Minutes_Detail,/api/v1/report/scheduled-time-over-1440-minutes
19,Scrap Loss Over Threshold,spUpdate_iODS_ScrapLossOverThreshold,spGet_iODS_ScrapLossOverThreshold_Summary,spGet_iODS_ScrapLossOverThreshold_Detail,/api/v1/report/scrap-loss-over-threshold
20,Unplanned Without Fault Description,spUpdate_iODS_UnplannedWithoutFaultDescription,spGet_iODS_UnplannedWithoutFaultDescription_Summary,spGet_iODS_UnplannedWithoutFaultDescription_Detail,/api/v1/report/unplanned-without-fault-description
21,Unplanned Without Reason Level 1,spUpdate_iODS_UnplannedWithoutReasonLevel1,spGet_iODS_UnplannedWithoutReasonLevel1_Summary,spGet_iODS_UnplannedWithoutReasonLevel1_Detail,/api/v1/report/unplanned-without-reason-level-1
22,Unplanned Without Reason Level 3,spUpdate_iODS_UnplannedWithoutReasonLevel3,spGet_iODS_UnplannedWithoutReasonLevel3_Summary,spGet_iODS_UnplannedWithoutReasonLevel3_Detail,/api/v1/report/unplanned-without-reason-level-3
23,Uptime During PR OUT,spUpdate_iODS_UptimeDuringPROUT,spGet_iODS_UptimeDuringPROUT_Summary,spGet_iODS_UptimeDuringPROUT_Detail,/api/v1/report/uptime-during-pr-out
30,Duplicate Production Data,spUpdate_iODS_DuplicateProductionData,spGet_iODS_Duplicate_ProductionData,,/api/v1/report/duplicate-production-data
31,Duplicate DowntimeUptime Data,spUpdate_iODS_DuplicateDowntimeUptimeData,spGet_iODS_Duplicate_DowntimeUptimeData,,/api/v1/report/duplicate-downtimeuptime-data
43,Downtime Record Ends Before It Starts,spUpdate_iODS_DowntimeRecordEndsBeforeItStarts,spGet_iODS_EndBeforeStart_DowntimeUptimeData,,/api/v1/report/downtime-record-ends-before-it-starts
44,Production Record Ends Before It Starts,spUpdate_iODS_ProductionRecordEndsBeforeItStarts,spGet_iODS_EndBeforeStart_ProductionData,,/api/v1/report/production-record-ends-before-it-starts
45,Overlapping Downtime Records,spUpdate_iODS_OverlappingDowntimeRecords,spGet_iODS_Overlapping_DowntimeUptimeData,,/api/v1/report/overlapping-downtime-records
46,Overlapping Production Records,spUpdate_iODS_OverlappingProductionRecords,spGet_iODS_Overlapping_ProductionData,,/api/v1/report/overlapping-production-records
47,Invalid Line States,spUpdate_iODS_InvalidLineStates,spGet_iODS_InvalidLineStates,,/api/v1/report/invalid-line-states
